property_id,postcode,property_type,built_form,construction_age,tenure,main_fuel,epc_rating,mains_gas,local_authority,latitude,longitude
P0187,NG5 5NE,House,Semi-Detached,1967-1975,Owner-occupied,Mains Gas,D,Yes,Nottingham,53.002821,-1.159362
P0188,NG8 5PG,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.975507,-1.200534
P0189,NG5 2AS,House,End-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.974887,-1.153724
P0190,NG8 6FP,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.976042,-1.213332
P0191,NG8 4AP,House,Semi-Detached,1967-1975,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.969021,-1.22832
P0192,NG8 6HU,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.978993,-1.220592
P0194,NG5 3AE,House,End-Terrace,1930-1949,Owner-occupied,Mains Gas,E,Yes,Nottingham,52.984651,-1.150182
P0196,NG8 5RE,House,Mid-Terrace,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.973137,-1.20229
P0198,NG8 6GY,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.977719,-1.214091
P0199,NG7 7AQ,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.974647,-1.165553
P0200,NG6 9HP,House,Semi-Detached,1900-1929,Rented (private),Mains Gas,D,Yes,Nottingham,53.003043,-1.191456
P0201,NG8 5RZ,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,B,Yes,Nottingham,52.973623,-1.211812
P0202,NG11 7DL,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.919045,-1.160271
P0203,NG6 9EH,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.993697,-1.180084
P0205,NG5 5GQ,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.994882,-1.172076
P0206,NG8 5QX,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.975513,-1.206848
P0207,NG7 6FZ,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,E,Yes,Nottingham,52.970756,-1.173505
P0208,NG8 2GD,House,Semi-Detached,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.952203,-1.235525
P0209,NG3 3DX,House,Semi-Detached,1950-1966,Rented (private),Mains Gas,D,Yes,Nottingham,52.962012,-1.129813
P0210,NG3 3BW,House,Mid-Terrace,1976-1982,Rented (social),Community Heating,D,Yes,Nottingham,52.968321,-1.129493
P0211,NG3 3DL,House,End-Terrace,1976-1982,Rented (social),Mains Gas,B,Yes,Nottingham,52.967236,-1.123827
P0212,NG6 8BQ,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,53.013394,-1.192157
P0214,NG7 5QB,House,Mid-Terrace,before 1900,Rented (private),Mains Gas,D,Yes,Nottingham,52.96117,-1.180804
P0215,NG7 7AE,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.974313,-1.161539
P0216,NG3 3AH,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.969946,-1.125589
P0217,NG5 2LB,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.979942,-1.152851
P0218,NG7 6ES,House,Semi-Detached,2003-2006,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.968852,-1.171144
P0219,NG5 1NL,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.989264,-1.169547
P0220,NG6 0GW,House,Detached,1991-1995,Rented (private),Mains Gas,D,Yes,Nottingham,52.98988,-1.177967
P0221,NG3 3NN,House,Mid-Terrace,1967-1975,Owner-occupied,Mains Gas,D,No,Nottingham,52.961283,-1.13209
P0222,NG6 0EY,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.993424,-1.178302
P0223,NG5 5GA,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,E,Yes,Nottingham,52.995502,-1.177189
P0225,NG8 6LY,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.975728,-1.232713
P0226,NG5 1JZ,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.982347,-1.171422
P0229,NG6 0EB,House,Semi-Detached,1983-1990,Rented (private),Mains Gas,E,Yes,Nottingham,52.991183,-1.176661
P0230,NG11 8HN,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.911541,-1.169442
P0231,NG3 7FT,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.957126,-1.103711
P0233,NG11 8FH,House,Semi-Detached,1950-1966,Owner-occupied,Electricity,F,Yes,Nottingham,52.909653,-1.178489
P0234,NG6 8SH,House,Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.988727,-1.194763
P0236,NG11 9ES,House,Mid-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,52.894717,-1.176661
P0237,NG5 5PY,House,End-Terrace,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,53.007705,-1.155944
P0239,NG6 0LB,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.986399,-1.192065
P0240,NG5 6EG,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.996831,-1.147663
P0241,NG5 2AF,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.975988,-1.154328
P0243,NG3 3AB,House,Semi-Detached,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.976893,-1.127787
P0244,NG8 4LY,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.962578,-1.219144
P0245,NG11 8PL,House,Detached,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.914791,-1.179225
P0246,NG5 5UY,House,End-Terrace,2007-2011,Rented (private),Mains Gas,C,Yes,Nottingham,52.994104,-1.166221
P0247,NG8 5PR,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.976143,-1.208207
P0250,NG11 9HX,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.903947,-1.189346
P0251,NG8 5QR,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.974434,-1.198633
P0252,NG3 7DR,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.957416,-1.119633
P0253,NG8 3AZ,House,Mid-Terrace,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.971895,-1.227956
P0254,NG8 6EP,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.983242,-1.199751
P0255,NG2 3BP,House,Mid-Terrace,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.939789,-1.137088
P0256,NG3 3BN,House,Semi-Detached,1976-1982,Rented (social),Community Heating,E,No,Nottingham,52.967702,-1.129743
P0257,NG8 4ET,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.964044,-1.219162
P0259,NG7 3DU,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,E,Yes,Nottingham,52.959652,-1.178317
P0261,NG2 4DX,House,Mid-Terrace,1967-1975,Owner-occupied,Electricity,C,No,Nottingham,52.953431,-1.095347
P0262,NG11 9BX,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.900973,-1.176423
P0263,NG3 7FN,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.958165,-1.107932
P0264,NG5 5FW,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.996167,-1.173243
P0265,NG8 2FB,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.95254,-1.24046
P0266,NG11 9LR,House,Mid-Terrace,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,52.902648,-1.180867
P0268,NG5 5FR,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.995425,-1.173868
P0270,NG11 9DU,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.891835,-1.179733
P0271,NG8 1BZ,House,Semi-Detached,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.948398,-1.192832
P0272,NG1 4DR,House,Mid-Terrace,1967-1975,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.95924,-1.150517
P0273,NG3 3AH,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.969946,-1.125589
P0274,NG8 4HD,House,Semi-Detached,1950-1966,Rented (private),Mains Gas,C,Yes,Nottingham,52.961646,-1.239036
P0275,NG11 8QE,House,Mid-Terrace,1950-1966,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.903085,-1.168652
P0277,NG8 6JR,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.976518,-1.218789
P0278,NG3 7DT,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.959056,-1.117799
P0279,NG8 1NT,House,Mid-Terrace,1967-1975,Rented (private),Mains Gas,C,Yes,Nottingham,52.959144,-1.194836
P0281,NG5 2LF,House,Mid-Terrace,1930-1949,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.980385,-1.154525
