air_temperature,radiant_temperature,relative_humidity,air_velocity,outdoor_temperature,clo_value,met_rate,comfort_label
23.3,23.725,28.0,0.11,15.320833333333333,1.04,1.5529010238907852,too_warm
23.4,23.46,25.0,0.13,15.320833333333333,1.08,1.1092150170648465,too_cold
23.4,24.1378787878788,25.0,0.14,15.320833333333333,0.6,1.5870307167235491,comfortable
23.0,23.205714285714283,24.0,0.2,15.320833333333333,0.8300000000000001,1.1433447098976108,comfortable
20.3,19.708571428571428,33.0,0.03,15.320833333333333,1.2,1.1092150170648465,comfortable
24.1,24.512121212121208,21.0,0.26,15.320833333333333,0.93,1.2627986348122866,comfortable
23.0,23.08106060606061,37.0,0.06,10.558333333333334,0.88,1.4505119453924913,too_warm
23.1,23.13030303030303,37.0,0.07,10.558333333333334,1.23,1.706484641638225,too_warm
23.1,22.67714285714285,37.0,0.02,10.558333333333334,1.07,1.1092150170648465,too_warm
21.5,22.04015151515152,39.0,0.07,10.558333333333334,0.6899999999999998,1.3993174061433449,comfortable
23.5,23.510000000000005,35.0,0.02,10.558333333333334,1.2,0.9385665529010238,comfortable
23.1,23.31857142857143,37.0,0.06,10.558333333333334,0.77,1.0409556313993171,comfortable
23.1,23.28,37.0,0.06,10.558333333333334,1.21,1.1092150170648465,comfortable
23.3,27.10285714285715,35.0,0.01,10.558333333333334,1.1299999999999997,1.006825938566553,too_warm
21.7,22.230303030303023,40.0,0.01,10.558333333333334,1.02,1.2969283276450512,comfortable
23.1,23.072727272727267,24.0,0.06,10.64375,0.8700000000000001,1.1604095563139931,comfortable
20.9,21.29714285714285,26.0,0.02,10.64375,0.77,0.9726962457337884,comfortable
23.3,23.81969696969697,24.0,0.0899999999999999,10.64375,0.7799999999999999,1.245733788395904,too_warm
20.6,21.77857142857143,26.0,0.02,10.64375,1.1899999999999995,0.9385665529010238,comfortable
21.6,23.507142857142853,26.0,0.06,10.64375,0.82,1.2627986348122866,comfortable
21.1,21.87,26.0,0.04,10.64375,0.8700000000000001,1.1092150170648465,comfortable
20.7,21.44571428571428,26.0,0.02,10.64375,1.4399999999999995,1.1092150170648465,comfortable
21.0,21.80285714285715,30.0,0.04,10.404166666666669,1.1299999999999997,1.0580204778156996,comfortable
20.9,19.93428571428572,31.0,0.06,10.404166666666669,1.02,0.9385665529010238,comfortable
20.6,22.35571428571428,29.0,0.17,10.404166666666669,1.4199999999999997,0.9385665529010238,too_warm
20.7,21.44571428571428,32.0,0.02,10.404166666666669,1.35,1.1092150170648465,comfortable
18.9,18.802272727272733,39.0,0.08,10.45,0.8500000000000001,1.245733788395904,comfortable
23.3,23.72714285714286,36.0,0.05,13.2625,0.88,0.9385665529010238,comfortable
23.3,24.22428571428572,36.0,0.01,13.2625,0.93,1.501706484641638,too_warm
23.1,22.915714285714284,42.0,0.04,13.645833333333334,0.96,0.9897610921501708,too_warm
23.6,23.722857142857148,43.0,0.11,13.645833333333334,1.12,1.075085324232082,comfortable
23.4,23.055714285714284,42.0,0.04,13.645833333333334,0.8400000000000001,1.0452218430034128,comfortable
22.5,23.34,43.0,0.05,13.645833333333334,0.88,0.9385665529010238,comfortable
23.3,24.265714285714285,42.0,0.03,13.645833333333334,1.11,1.0303754266211609,comfortable
24.3,25.275714285714283,41.0,0.02,13.645833333333334,1.01,1.414334470989761,too_warm
23.3,24.222857142857144,42.0,0.03,13.645833333333334,0.72,1.6051194539249145,comfortable
22.8,23.88,42.0,0.04,13.645833333333334,1.02,1.0303754266211609,comfortable
22.4,24.14,43.0,0.04,13.645833333333334,1.1,1.1092150170648465,comfortable
21.0,21.04428571428572,48.0,0.06,13.645833333333334,0.97,1.3215017064846413,comfortable
24.2,23.712857142857143,37.0,0.02,15.029166666666669,0.8500000000000001,1.164675767918089,too_warm
24.4,24.42142857142857,38.0,0.01,15.029166666666669,0.93,1.062286689419795,too_warm
24.1,23.71428571428572,39.0,0.0899999999999999,15.029166666666669,0.98,0.9641638225255974,comfortable
24.0,24.850757575757576,37.0,0.02,15.029166666666669,0.71,1.1689419795221845,comfortable
24.0,24.111428571428576,38.0,0.04,15.029166666666669,0.93,1.2158703071672352,too_warm
22.6,22.90714285714285,39.0,0.03,15.029166666666669,0.9,0.985494880546075,comfortable
21.4,21.045714285714283,43.0,0.06,15.029166666666669,0.99,1.1092150170648465,comfortable
23.9,23.877142857142854,38.0,0.03,15.029166666666669,0.97,1.0303754266211609,too_warm
23.4,23.464285714285715,37.0,0.03,15.029166666666669,1.08,1.3395904436860069,comfortable
23.9,24.45714285714285,38.0,0.01,15.029166666666669,1.1,1.1916382252559723,comfortable
25.1,24.89428571428572,36.0,0.03,19.5125,1.12,1.3011945392491464,comfortable
25.0,24.71428571428572,36.0,0.01,19.5125,0.92,0.9385665529010238,too_warm
27.6,26.77727272727273,28.0,0.38,19.5125,0.6,1.36518771331058,comfortable
23.2,24.56571428571428,35.0,0.37,19.5125,0.4900000000000001,0.9385665529010238,comfortable
21.6,23.13857142857143,42.0,0.18,19.5125,1.09,1.0238907849829348,comfortable
24.0,24.03714285714285,37.0,0.01,19.5125,0.62,0.985494880546075,comfortable
22.6,22.37285714285715,44.0,0.08,19.5125,0.74,1.0238907849829348,comfortable
27.5,27.10857142857143,27.0,0.08,19.5125,0.74,1.629692832764505,too_warm
